name,id,tags,planetary,decivRemove,script,desc,icon,order
Magnetic Crust,US_magnetic,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_magnetic,"$market's crust is rich in magnesite with a dense iron core, resulting in an exceptionally strong magnetic field. While shielding the surface from harmful radiation, it hinders colonization efforts by necessitating heavy protection for all electronic components. This intense magnetism, though challenging for settlers, provides a significant advantage to defenders during an invasion, as radio communications are naturally scrambled, unlike hardened land-lines.",graphics/icons/markets/US_magnetic.png,5
Chaotic Structures,US_artificial,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_artificial,"$market is blanketed by an Escherian maze of abandoned buildings, incomplete tunnels, sporadic roads, and assorted structures. Counterintuitively, this architectural chaos doesn't support the establishment or growth of colonies, lacking a coherent city plan. However, the landscape offers exceptional defensibility against invaders without a precise 3D scan, as the myriad paths mostly lead to nowhere through both open and hidden passages.",graphics/icons/markets/US_artificial.png,5
Perpetual Dust Storm,US_storm,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_storm,"$market is shrouded in a perpetual dust storm, intensifying material wear and compelling settlements to exist underground. The challenging landing conditions dampen commerce, but they equally disadvantage invaders, placing them at odds against well-entrenched defenses hidden in the dust.",graphics/icons/markets/dust_storm.png,5
Luminescent Clouds,US_fluorescent,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_fluorescent,"Due to the constant exotic storms raging in the atmosphere, volatiles found on $market are particularly unstable and thus can be easily harvested. Additionally, the signature glow of the planet makes it significantly less reliant on energy from its primary.",graphics/icons/markets/US_fluorescent.png,5
,,,,,,,,
Military Virus,US_virus,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_virus,"$market would be a desirable locale if not for a lingering military virus deployed in some long-forgotten conflict. While native wildlife remains unaffected, human inhabitants must take extreme precautions to survive. The virus lies dormant in various materials, making entrenched defenses impossible, as any damage to such structures poses a major infection risk. This constant threat deters population growth, resulting in a significantly reduced immigration rate. However, it creates an ideal location for constructing a bio-weapon production facility.",graphics/icons/markets/xenoplague.png,10
Parasitic Spores,US_mind,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_mind,"$market seems to be home to a very peculiar plant, one whose spores can influence mammalian cognitive processes. Affected individuals present a heightened sense of empathy, as well as a flourishing libido. Sadly, the spores also affect the motor-control centers of the brain, shortening the affected subject's attention span and reducing their ability to complete precise or complex tasks.",graphics/icons/markets/US_mind.png,10
Psychoactive Fungus,US_shrooms,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_shrooms,"Among the native lifeforms of $market, a species of fungi has been identified as having strong psychoactive properties. While most people have obvious reservations about consuming an alien organism that alters cognitive processes, a small subset of the sector's population is ready to buy these fungi for a hefty sum. The often-violent activities caused by illegal and shady sellers of the fungus impact the stability of the colony greatly.",graphics/icons/markets/US_fungus.png,10
Pre-Collapse Cryosanctum,US_cryosanctum,codex_unlockable,TRUE,,data.scripts.campaign.econ.US_cryosanctum,"Beneath the surface of $market lies a derelict cryosanctum still housing countless cryopods. An analysis of the few remaining logs suggests that the planet was once used as headquarters for some sort of organ harvesting operation led by high-ranking members of the underworld, before it was abandoned soon after the Collapse. While the structure is in a degraded state, the primary systems and routines are still largely operational and, given time, can be fully restored.",graphics/icons/markets/cryosanctum.png,10
,,,,,,,,
Pre-Collapse Military Base,US_base,planet_search,TRUE,,data.scripts.campaign.econ.US_base,"$market was a significant military center before the Collapse. Though long abandoned and unusable, some of the documentation and tools survived. This can aid in refining production protocols, resulting in a significant improvement in the quality of faction-built ships.",graphics/icons/markets/arms_tradeshow.png,10
,,,,,,,,
